h,end glissando
k ,partial beam extending leftward
kk ,two partial beams extending leftward
m ,mordent (semitone)
mm,double mordent (semitone)
o ,harmonic
p ,designator of a note subsequent to an appoggiatura
q ,acciaccatura (grace note signifier; in lieu of duration)
t ,trill (semitone)
u ,down-bow
v ,up-bow
w ,inverted mordent (semitone)
ww ,double inverted mordent (semitone)
x ,editorial interpretation; immediately preceding signifier is interpreted
xx ,editorial interpretation; entire data token is interpreted
y ,"editorial mark: invisible symbol; unprinted note, rest, or"
z ,sforzando
H ,begin glissando
I,generic articulation (unspecified articulation)
J,end beam
JJ ,end two beams
K ,partial beam extending rightward
KK,two partial beams extending rightward
L ,start beam
LL ,start two beams
M ,mordent (wholetone)
Mm ,mordent (either semitone or wholetone)
MM ,double mordent (wholetone)
O ,generic ornament (unspecified ornament) use !!!RDF**kern: to specifiy type of ornament.
P ,appoggiatura note designator
Q ,groupetto note designator
R ,unpitched note
RR ,semi-pitched note
S,turn
$ ,Wagnerian turn
T,trill (whole tone)
U ,con sordino; muted note
V ,undefined; user assignable
W,inverted mordent (wholetone)
Ww,interted mordent (either semitone or wholetone)
WW ,double inverted mordent (wholetone)
X ,editorial intervention; immediately preceding signifier is an
XX ,editorial intervention; entire data token is an editorial addition
Y,editorial mark: sic marking; information is encoded
[,first note of a tie
] ,last note of a tie
_ ,middle note(s) of a tie (underscore)
(,slur start
),slur end
{ ,phrase mark (start)
} ,phrase mark (end)
; ,pause sign
 ,staccato mark
s ,spiccato
"""",pizzicato mark
"
`","staccatissimo mark; attacca mark; martellato mark, (heavy wedge)"
~ ,tenuto mark
 ^ ,accent mark
