SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
Alp-Horn in F,instrument.brass.alp-horn.f,,
Alp-Horn in G,instrument.brass.alp-horn.g,,
Baritone Bugle in G,instrument.brass.bugle.baritone.g,,
Contrabass Bugle in G,instrument.brass.bugle.contrabass.g,,
Euphonium Bugle in G,instrument.brass.bugle.euphonium.g,,
Mellophone Bugle in G,instrument.brass.bugle.mellophone.g,,
Soprano Bugle in G,instrument.brass.bugle.soprano.g,,
Cimbasso in Bb,instrument.brass.cimbasso.bflat,,
Cimbasso in Eb,instrument.brass.cimbasso.eflat,,
Cimbasso in F,instrument.brass.cimbasso.f,,
Cornet in A,instrument.brass.cornet.a,*Icornt,
Cornet in Bb,instrument.brass.cornet.bflat,*Icornt,
Soprano Cornet in Eb,instrument.brass.cornet.soprano.eflat,*Icornt,
Euphonium in Bb [treble clef],instrument.brass.euphonium,,
"Euphonium in Bb [bass clef, treble transp.]",instrument.brass.euphonium.bassclef,,
Euphonium in C [bass clef],instrument.brass.euphonium.bassclef.bassclef,,
Euphonium in Bb [bass clef],instrument.brass.euphonium.bflat.bassclef.bassclef,,
Flugelhorn,instrument.brass.flugelhorn,*Iflugh,
Horn in A [no key],instrument.brass.horn.a.nokeysig,*Icor,
Horn in Ab alto [no key],instrument.brass.horn.alto.aflat.nokeysig,*Icor,
Alto Horn in Eb,instrument.brass.horn.alto.eflat,*Icor,
Alto Horn in F,instrument.brass.horn.alto.f,*Icor,
Horn in B [no key],instrument.brass.horn.b.nokeysig,*Icor,
Baritone in Bb [treble clef],instrument.brass.horn.baritone,,
Baritone in C [treble clef],instrument.brass.horn.baritone.2,,
"Baritone in Bb [bass clef, treble transp.]",instrument.brass.horn.baritone.bassclef,,
Baritone in C [bass clef],instrument.brass.horn.baritone.bassclef.bassclef,,
Bass in Bb,instrument.brass.horn.bass.bflat,,
"Bass in Bb [bass clef, treble transp.]",instrument.brass.horn.bass.bflat.bassclef,,
Bass in C,instrument.brass.horn.bass.c,,
Bass in Eb,instrument.brass.horn.bass.eflat,,
"Bass in Eb [bass clef, treble transp.]",instrument.brass.horn.bass.eflat.bassclef,,
